title,genres,director_name,actor1_name,actor2_name,actor3_name,comb
west side story,Crime Drama Musical Romance Thriller,Jerome Robbins,Rita Moreno,George Chakiris,Richard Beymer,Jerome Robbins Rita Moreno George Chakiris Richard Beymer Crime Drama Musical Romance Thriller
caddyshack,Comedy Sport,Harold Ramis,Bill Murray,Rodney Dangerfield,Brian Doyle-Murray,Harold Ramis Bill Murray Rodney Dangerfield Brian Doyle-Murray Comedy Sport
the brothers,Comedy Drama,Gary Hardwick,Julie Benz,Tatyana Ali,Jenifer Lewis,Gary Hardwick Julie Benz Tatyana Ali Jenifer Lewis Comedy Drama
the wood,Comedy Drama Romance,Rick Famuyiwa,Omar Epps,Tamala Jones,Richard T. Jones,Rick Famuyiwa Omar Epps Tamala Jones Richard T. Jones Comedy Drama Romance
the usual suspects,Crime Drama Mystery Thriller,Bryan Singer,Kevin Spacey,Chazz Palminteri,Kevin Pollak,Bryan Singer Kevin Spacey Chazz Palminteri Kevin Pollak Crime Drama Mystery Thriller
a nightmare on elm street 5: the dream child,Fantasy Horror Romance Thriller,Stephen Hopkins,Lisa Wilcox,Kelly Jo Minter,Matthew Borlenghi,Stephen Hopkins Lisa Wilcox Kelly Jo Minter Matthew Borlenghi Fantasy Horror Romance Thriller
van wilder: party liaison,Comedy Romance,Walt Becker,Ryan Reynolds,Curtis Armstrong,Erik Estrada,Walt Becker Ryan Reynolds Curtis Armstrong Erik Estrada Comedy Romance
the wrestler,Drama Sport,Darren Aronofsky,Mark Margolis,John D'Leo,Ajay Naidu,Darren Aronofsky Mark Margolis John D'Leo Ajay Naidu Drama Sport
duel in the sun,Drama Romance Western,King Vidor,Joseph Cotten,Lillian Gish,Jennifer Jones,King Vidor Joseph Cotten Lillian Gish Jennifer Jones Drama Romance Western
best in show,Comedy,Christopher Guest,John Michael Higgins,Catherine O'Hara,Michael McKean,Christopher Guest John Michael Higgins Catherine O'Hara Michael McKean Comedy
escape from new york,Action Sci-Fi,John Carpenter,Donald Pleasence,Adrienne Barbeau,Tom Atkins,John Carpenter Donald Pleasence Adrienne Barbeau Tom Atkins Action Sci-Fi
school daze,Comedy Drama Musical,Spike Lee,Tisha Campbell-Martin,Ossie Davis,Bill Nunn,Spike Lee Tisha Campbell-Martin Ossie Davis Bill Nunn Comedy Drama Musical
daddy day camp,Comedy Family,Fred Savage,Lochlyn Munro,Brian Doyle-Murray,Tamala Jones,Fred Savage Lochlyn Munro Brian Doyle-Murray Tamala Jones Comedy Family
mr. nice guy,Action Comedy Crime,Sammo Kam-Bo Hung,Sammo Kam-Bo Hung,Richard Norton,Rachel Blakely,Sammo Kam-Bo Hung Sammo Kam-Bo Hung Richard Norton Rachel Blakely Action Comedy Crime
a mighty wind,Comedy Music,Christopher Guest,Michael McKean,Christopher Guest,Laura Harris,Christopher Guest Michael McKean Christopher Guest Laura Harris Comedy Music
mystic pizza,Comedy Drama Romance,Donald Petrie,Julia Roberts,Lili Taylor,Conchata Ferrell,Donald Petrie Julia Roberts Lili Taylor Conchata Ferrell Comedy Drama Romance
war & peace            ,Drama History Romance War,Unknown,Jim Broadbent,Tuppence Middleton,Lily James,Unknown Jim Broadbent Tuppence Middleton Lily James Drama History Romance War
